Id,Predicted
8957,0.15015238043097356
4246,0.03706910683543245
9089,0.15211876056399184
10606,0.1600716092967077
9863,0.040747131948958855
11627,0.060645031318264875
2338,0.9180228761694319
13378,0.9340074315104675
1643,0.08802453146365845
6957,0.056088659441597265
11597,0.9488077738367751
1914,0.8880794916971062
15712,0.27013394701450244
8477,0.10986013528287744
1976,0.9153124511219349
15431,0.5683743364573917
2870,0.1678168709905207
10605,0.20421631053245434
15707,0.9502938288153975
4774,0.9632014916983929
1176,0.08753250372061284
5671,0.9432686204409085
15067,0.19665201746285468
2353,0.12293642835971814
6964,0.9729678755639977
17323,0.901250280387444
2497,0.21959575645964677
997,0.03288704913383003
3462,0.03826889754859602
5511,0.20963086640400844
5316,0.02949036136380272
8654,0.16681152332963534
4697,0.9402955631265352
17197,0.04764839541277652
9352,0.9400635598974308
5084,0.9527578538272199
3009,0.10653901453528807
11330,0.07433035216867384
7167,0.9725076295189079
11227,0.9649815884116549
2589,0.14634555370771332
12051,0.05154442899623101
2037,0.9681171703889809
10865,0.17189871581761085
9832,0.9545815504684151
785,0.16209303955793103
9962,0.9637774199520891
9994,0.04405916467952178
10529,0.9426043951733419
11388,0.02110360490068616
651,0.0605315736454441
11941,0.9147798027374102
2752,0.03716493376549246
14088,0.9751690354781288
2287,0.9302079374810798
4836,0.963262795680123
12144,0.1779300181783242
935,0.039616262309942474
12504,0.04666437838123818
13702,0.06983725982284239
15483,0.05937261505070142
15635,0.8626488281917873
11030,0.1404548814670451
9127,0.912320643322451
2530,0.12668523160000056
16463,0.01907539312989735
17576,0.6519920805903602
10158,0.9422903211371122
5966,0.04700029551288083
11705,0.08017864013760753
125,0.9133358828339688
13028,0.09084481332660901
16817,0.05184103372255306
11014,0.0656483762216519
11402,0.12052413349008499
14179,0.9142802443711007
4312,0.9255252468881742
2101,0.15780033055177164
10996,0.11711533959552937
10926,0.9261976603644666
446,0.09538017608884028
14656,0.9306063342901483
980,0.10135009384792915
10894,0.9440794441003275
8789,0.18895494353957915
4621,0.04978594634207848
4497,0.10574019824402804
12210,0.9775765674915713
10872,0.9226963267160052
6041,0.918777848123237
11583,0.03161443193789752
11794,0.3026404463663004
6542,0.9655395259394567
9221,0.031025357876853333
16343,0.06211825478618862
3766,0.03021797464805512
5,0.10590965276539485
3610,0.02647908203342919
10572,0.9615939196644001
16263,0.06291482442595056
4931,0.14733246195135513
243,0.038256482890569356
11158,0.9606692624106193
10933,0.2924527351699053
17647,0.7261414328921451
12786,0.9250795533204251
9934,0.08148171056075815
17018,0.0570365726626657
16239,0.9308998374848352
15882,0.026408200503477662
12529,0.9797390764592371
17225,0.11739697792456338
17644,0.3385540230818789
3398,0.04894163918106182
4906,0.042007516172396626
10838,0.08028214236756616
6670,0.1233087630164661
4395,0.978180292234008
14724,0.04489038182197113
15098,0.9534570430332697
10745,0.9058892598663262
4959,0.9892786441104776
2876,0.7163785742167789
16765,0.932370896646151
11629,0.022516797848591574
16255,0.968120415465786
17532,0.7318258940869302
13631,0.13568854687731563
13134,0.11720034262803508
4932,0.0479762587251415
1305,0.8711793035742565
9508,0.018989546796862482
13402,0.14686848047786547
13256,0.9164909203555915
17096,0.058337223165256864
15070,0.9804915828675219
6097,0.8884685321255633
16076,0.134275855687138
5192,0.08688529032206553
9509,0.9360118062545488
